SNTP;TEMP;HUM
1755667848;24.9;58.3
1755668448;24.9;55.4
1755677450;24.4;57.2
1755678050;24.5;61.8
1755678651;24.4;56.1
1755679251;24.6;64.0
1755679852;24.1;57.6
1755680452;24.0;63.8
1755681052;23.9;57.1
1755681652;24.1;66.1
1755682252;22.9;61.2
1755682852;23.5;64.9
1755683451;23.4;61.7
1755684052;23.7;65.8
1755684652;23.5;66.2
1755685252;23.6;64.6
1755685852;23.3;64.7
1755686452;23.5;63.9
1755687053;23.5;65.6
1755687653;23.5;59.9
1755688253;23.6;66.8
1755688853;23.3;64.2
1755689453;23.6;61.6
1755690053;23.7;66.9
1755690654;23.5;64.3
1755691254;23.6;60.3
1755691854;23.5;67.4
1755692454;23.2;60.1
1755693055;23.4;67.7
1755693655;23.0;62.1
1755694254;23.3;67.9
1755694854;23.1;60.8
1755695454;23.5;65.8
1755696055;23.4;65.1
1755697856;26.9;55.3
1755698456;27.3;56.1
1755699056;27.5;56.3
1755699656;27.7;55.1
1755700256;27.8;55.0
1755700856;28.0;54.7
1755701456;28.1;54.7
1755702056;28.2;55.2
1755702656;28.3;55.5
1755703256;28.4;56.0
1755703856;28.5;56.1
1755704456;28.6;56.3
1755705057;28.7;56.4
1755705657;28.8;56.4
1755706257;28.9;56.2
1755706858;28.9;56.3
1755707458;29.0;56.6
1755708058;29.1;56.3
1755708658;29.1;56.3
1755709258;29.2;56.3
1755709859;29.3;55.9
1755710459;29.3;55.8
1755711059;29.4;55.6
1755711659;29.5;55.7
1755712258;29.5;54.9
1755712858;29.6;54.9
1755713459;29.6;54.6
1755714059;29.6;54.3
1755714659;29.7;54.3
1755715259;29.8;53.8
1755715860;29.8;53.7
1755716460;29.8;53.3
1755717060;29.9;53.3
1755717660;29.9;53.1
1755718260;29.9;53.2
1755718861;30.0;52.8
1755719460;30.0;52.7
1755720060;30.0;52.9
1755720660;30.0;53.6
1755721260;30.1;53.4
1755721861;30.1;53.0
1755722461;30.1;52.9
1755723061;30.1;52.7
1755723661;30.2;52.5
1755724262;30.2;53.1
1755724862;30.2;52.4
1755725462;30.2;52.4
1755726062;30.2;52.4
1755726662;30.2;52.5
1755727262;30.3;52.4
1755727862;30.3;52.2
1755728462;30.3;52.5
1755729062;30.3;52.0
1755729662;30.3;51.9
1755730262;30.3;51.7
1755730863;30.3;51.8
1755731464;30.4;51.6
1755732064;30.3;51.7
1755732664;30.3;51.6
1755733264;30.3;51.9
1755733864;30.4;51.5
1755734464;30.4;51.4
1755735064;30.4;51.9
1755735664;30.4;51.3
1755736264;30.5;51.1
1755736864;30.4;52.2
1755737464;30.4;51.4
1755738065;30.5;50.9
1755738665;30.4;50.8
1755739266;30.4;53.4
1755739866;30.3;55.0
1755740466;30.3;55.9
1755741066;30.3;55.6
1755741665;30.4;54.7
1755742265;30.3;55.2
1755742866;30.4;51.0
1755743466;30.4;50.3
1755744066;30.4;52.1
1755744666;30.3;54.0
1755745267;30.3;53.0
1755745867;30.4;49.2
1755747668;29.4;52.5
1755748268;26.2;59.3
1755748868;25.8;60.3
1755749290;25.9;63.5
1755749307;25.9;60.9
1755749360;26.2;59.9
1755749960;25.8;59.4
1755750560;25.5;62.9
1755751160;25.0;58.3
1755751760;25.0;59.3
1755752360;24.9;65.8
1755752960;24.5;62.2
1755753560;24.6;62.1
1755754160;24.7;67.6
1755754760;24.6;63.2
1755755360;24.9;62.8
1755758143;24.4;63.6
1755759393;24.2;56.9
$DateTime('ddd, MMM dd yy HH:mm', 1755759838);24.2;60.9;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755760047);24.4;62.2;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755760628);24.7;65.9;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755762620);24.3;60.3;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755762791);24.4;65.7;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755763091);24.3;63.8;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755763348);24.2;58.9;$DEV
Thu, Aug 21 25 11:08;24.2;59.5;HT_3C71BF28FBD8
Thu, Aug 21 25 11:11;24.3;64.7;HT_3C71BF28FBD8
Thu, Aug 21 25 11:14;24.2;59.8;HT_3C71BF28FBD8
Thu, Aug 21 2025 11:24;24.4;65.1;HT_3C71BF28FBD8
Thu, Aug 21 2025 12:16;23.6;65.3;HT_3C71BF28FBD8
Thu, Aug 21 2025 12:36;23.7;64.9;HT_3C71BF28FBD8
Thu, Aug 21 2025 12:54;23.9;64.5;HT_3C71BF28FBD8
Thu, Aug 21 2025 12:54;24.0;64.7;HT_3C71BF28FBD8
Thu, Aug 21 2025 13:04;23.9;58.7;HT_3C71BF28FBD8
Thu, Aug 21 2025 13:14;24.2;63.7;HT_3C71BF28FBD8
Thu, Aug 21 2025 13:24;23.9;62.8;HT_3C71BF28FBD8
Thu, Aug 21 2025 13:34;24.0;58.9;HT_3C71BF28FBD8
Thu, Aug 21 2025 13:44;24.3;65.7;HT_3C71BF28FBD8
Thu, Aug 21 2025 13:54;24.2;62.9;HT_3C71BF28FBD8
Thu, Aug 21 2025 14:04;23.9;58.0;HT_3C71BF28FBD8
Thu, Aug 21 2025 14:11;23.9;58.8;HT_3C71BF28FBD8
Fri, Aug 22 2025 15:37;31.9;53.8;HT_3C71BF28FBD8
