SNTP;TEMP;HUM
1755667871;28.0;47.0
1755668471;28.5;44.0
1755677416;30.4;42.1
1755692868;27.7;38.8
1755693468;24.0;48.4
1755694068;24.3;47.4
1755694668;25.0;46.1
1755695268;28.1;39.4
1755695868;28.9;37.5
1755697669;33.1;39.6
1755698269;33.2;40.6
1755698869;31.7;42.9
1755699469;28.3;47.8
1755700069;27.7;49.2
1755700669;27.7;49.1
1755701269;27.9;50.4
1755701870;28.0;50.7
1755702470;28.1;51.8
1755703070;28.2;51.7
1755703670;28.2;51.8
1755704271;28.3;52.4
1755704871;28.3;52.3
1755705471;28.3;53.3
1755706071;28.4;53.6
1755706671;28.4;53.2
1755707271;28.3;53.3
1755707871;28.4;53.0
1755708472;28.4;53.0
1755709072;28.5;52.4
1755709672;28.5;52.6
1755710272;28.6;53.1
1755710872;28.5;52.7
1755711472;28.6;52.3
1755712072;28.6;52.0
1755712672;28.6;51.9
1755713273;28.7;52.0
1755713873;28.7;51.4
1755714473;28.7;51.1
1755715073;28.7;51.1
1755715673;28.8;50.8
1755716274;28.8;50.7
1755716874;28.8;50.6
1755717474;28.8;50.8
1755718074;28.8;50.5
1755718674;28.9;50.6
1755719274;28.9;50.7
1755719874;28.8;50.7
1755720474;28.9;50.4
1755721074;28.9;50.4
1755721674;28.9;50.5
1755722275;28.9;50.4
1755722875;28.9;50.2
1755723475;28.9;50.5
1755724075;28.9;50.3
1755724675;28.9;50.3
1755725275;28.9;50.6
1755725875;29.0;50.6
1755726475;28.9;50.4
1755727075;28.9;50.6
1755727675;29.0;50.3
1755728276;29.0;49.9
1755728876;29.0;49.7
1755729476;29.0;49.5
1755730076;29.0;50.1
1755730676;29.0;50.1
1755731276;29.0;49.9
1755731876;29.0;50.0
1755732477;29.0;50.1
1755733077;29.0;50.2
1755733678;29.0;50.0
1755734278;29.0;50.2
1755734878;29.1;50.1
1755735478;29.0;50.2
1755736078;29.0;50.0
1755736677;29.0;49.6
1755737278;29.0;49.5
1755737878;29.0;49.4
1755738478;29.0;49.1
1755739078;29.0;48.8
1755739678;28.9;48.7
1755740279;28.9;48.1
1755740879;28.8;47.4
1755741479;28.7;47.0
1755742079;28.8;46.6
1755742679;28.8;46.0
1755743280;28.7;45.8
1755743880;28.6;45.5
1755744480;28.6;45.3
1755745080;28.6;45.3
1755745680;28.6;45.4
1755746280;28.6;45.1
1755748081;26.6;43.9
1755748681;25.5;43.0
1755749281;25.2;44.7
1755749623;26.4;44.3
1755750223;24.4;42.3
1755750824;24.1;42.0
1755751424;23.8;41.8
1755752024;23.6;41.7
1755752624;23.4;42.3
1755753224;23.4;43.4
1755753824;23.4;43.4
1755754424;23.3;44.6
1755755025;23.3;44.8
1755758625;23.4;47.3
$DateTime('ddd, MMM dd yy HH:mm', 1755759826);23.5;47.4;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755760426);23.0;49.7;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755763426);23.7;49.4;$DEV
Thu, Aug 21 25 11:13;23.5;49.3;HT_3C71BF29A68E
Thu, Aug 21 2025 11:23;23.6;50.5;HT_3C71BF29A68E
Thu, Aug 21 2025 12:23;23.6;52.7;HT_3C71BF29A68E
Thu, Aug 21 2025 12:43;23.6;51.7;HT_3C71BF29A68E
Thu, Aug 21 2025 13:03;23.6;51.8;HT_3C71BF29A68E
Thu, Aug 21 2025 13:13;23.7;51.7;HT_3C71BF29A68E
Thu, Aug 21 2025 13:23;23.8;52.0;HT_3C71BF29A68E
Thu, Aug 21 2025 13:33;23.7;51.0;HT_3C71BF29A68E
Thu, Aug 21 2025 13:43;23.9;51.6;HT_3C71BF29A68E
Thu, Aug 21 2025 13:53;23.8;51.9;HT_3C71BF29A68E
Thu, Aug 21 2025 14:03;23.9;52.6;HT_3C71BF29A68E
Sat, Aug 23 2025 14:24;31.2;56.3;HT_3C71BF29A68E
