SNTP;TEMP;HUM
1755678821;31.6;36.7
1755679060;30.6;36.7
1755679660;27.0;41.3
1755680260;26.7;42.7
1755680860;26.7;42.9
1755681460;26.7;42.9
1755682060;26.6;43.2
1755682660;26.5;42.5
1755683260;26.6;42.9
1755683860;26.8;42.9
1755684460;26.8;43.4
1755685061;26.9;43.4
1755685661;26.9;43.5
1755686261;27.0;43.3
1755686862;26.9;43.6
1755687462;26.8;43.2
1755688062;26.9;44.0
1755688662;27.0;43.9
1755689262;27.0;44.4
1755689862;27.0;45.0
1755690462;27.0;44.8
1755691062;27.2;44.7
1755691662;27.2;44.0
1755692262;27.2;44.5
1755692862;27.1;43.4
1755693463;27.2;43.3
1755694063;27.2;43.1
1755694663;27.2;42.8
1755695263;27.2;43.4
1755695863;27.2;42.8
1755697664;28.6;51.0
1755698264;29.0;52.0
1755698864;28.8;52.3
1755699464;28.6;51.2
1755700065;28.6;51.4
1755700665;28.6;51.3
1755701265;28.8;52.3
1755701865;28.9;52.5
1755702465;29.1;53.1
1755703065;29.2;53.3
1755703665;29.3;53.1
1755704265;29.4;53.4
1755704866;29.5;53.6
1755705466;29.5;54.0
1755706066;29.6;54.3
1755706666;29.6;54.2
1755707266;29.7;53.9
1755707866;29.7;54.0
1755708466;29.7;53.8
1755709066;29.8;53.5
1755709667;29.8;53.8
1755710267;29.9;53.7
1755710867;29.9;53.6
1755711467;29.9;53.4
1755712067;29.9;53.1
1755712667;29.9;53.2
1755713267;30.0;53.2
1755713867;30.0;52.8
1755714467;30.0;52.5
1755715068;30.0;52.7
1755715668;30.0;52.4
1755716268;30.0;52.2
1755716868;30.0;52.5
1755717468;30.0;52.1
1755718068;30.0;52.1
1755718668;30.0;51.9
1755719269;30.1;52.3
1755719869;30.0;52.1
1755720469;30.1;51.8
1755721069;30.1;52.0
1755721669;30.1;51.9
1755722269;30.1;51.8
1755722869;30.0;52.0
1755723469;30.0;51.8
1755724069;30.0;52.0
1755724669;30.1;51.8
1755725269;30.0;52.0
1755725870;30.1;52.0
1755726470;30.0;52.1
1755727070;30.0;52.1
1755727670;30.0;52.0
1755728271;30.0;51.7
1755728871;30.0;51.3
1755729471;30.0;51.5
1755730071;30.0;51.8
1755730671;30.0;51.7
1755731271;30.0;51.7
1755731872;30.0;51.5
1755732472;30.0;52.0
1755733072;30.0;51.7
1755733672;30.0;51.8
1755734272;30.0;51.8
1755734872;30.0;51.7
1755735472;30.0;51.8
1755736072;30.0;51.5
1755736673;29.9;51.4
1755737273;30.0;51.3
1755737873;29.9;51.1
1755738473;30.0;50.8
1755739073;29.9;50.5
1755739673;29.9;50.4
1755740274;29.9;50.0
1755740874;29.8;49.6
1755741473;29.8;49.2
1755742073;29.8;48.8
1755742674;29.8;48.4
1755743274;29.7;48.1
1755743874;29.7;47.7
1755744474;29.7;47.4
1755745075;29.6;47.6
1755745675;29.6;47.4
1755746275;29.6;47.3
1755748075;29.1;43.8
1755748675;28.0;40.3
1755749275;28.0;38.5
1755749504;27.8;41.0
1755750104;28.0;38.0
1755750704;28.1;36.9
1755751304;28.0;36.2
1755751904;27.8;36.3
1755752504;27.6;37.1
1755753104;27.8;36.9
1755753704;27.4;37.5
1755754304;27.3;37.6
1755754905;27.2;38.0
1755758506;26.7;38.5
$DateTime('ddd, MMM dd yy HH:mm', 1755760306);26.7;38.9;$DEV
Thu, Aug 21 25 11:11;26.4;39.8;HT_3C71BF29A837
Thu, Aug 21 2025 11:21;26.5;40.9;HT_3C71BF29A837
Thu, Aug 21 2025 12:21;26.7;42.1;HT_3C71BF29A837
Thu, Aug 21 2025 12:41;26.8;42.8;HT_3C71BF29A837
Thu, Aug 21 2025 13:01;26.8;42.9;HT_3C71BF29A837
Thu, Aug 21 2025 13:11;26.8;42.1;HT_3C71BF29A837
Thu, Aug 21 2025 13:21;26.9;42.9;HT_3C71BF29A837
Thu, Aug 21 2025 13:31;26.9;41.9;HT_3C71BF29A837
Thu, Aug 21 2025 13:41;26.9;42.0;HT_3C71BF29A837
Thu, Aug 21 2025 13:51;26.9;43.0;HT_3C71BF29A837
Thu, Aug 21 2025 14:01;26.9;42.5;HT_3C71BF29A837
Thu, Aug 21 2025 14:11;27.0;43.0;HT_3C71BF29A837
Fri, Aug 22 2025 15:42;31.5;54.5;HT_3C71BF29A837
Sat, Aug 23 2025 14:22;31.9;56.9;HT_3C71BF29A837
