SNTP;TEMP;HUM
1755681664;28.0;60.7
1755681974;26.6;63.2
1755682574;23.2;68.1
1755683174;23.0;76.2
1755683774;22.9;68.6
1755684374;22.9;77.6
1755684974;22.7;71.6
1755685574;22.7;76.6
1755686175;22.8;69.5
1755686775;23.0;76.5
1755687375;22.9;73.9
1755687975;23.1;70.0
1755688575;23.2;74.9
1755689175;23.1;71.0
1755689775;22.6;72.3
1755690375;22.6;77.8
1755690976;22.1;73.9
1755691576;22.4;74.1
1755692176;22.1;77.9
1755692776;22.0;72.7
1755693376;22.3;78.9
1755693976;22.2;71.6
1755694576;22.3;76.8
1755695177;22.3;71.1
1755695777;22.5;76.8
1755698178;25.8;65.7
1755698778;26.1;66.7
1755699378;26.3;66.4
1755699978;26.5;65.5
1755700578;26.6;64.9
1755701178;26.8;64.5
1755701778;26.9;64.6
1755702378;27.1;65.0
1755702978;27.2;65.4
1755703578;27.3;65.5
1755704179;27.4;65.4
1755704779;27.6;65.5
1755705379;27.6;65.7
1755705980;27.7;65.6
1755706580;27.8;65.3
1755707180;27.9;65.6
1755707780;28.0;65.5
1755708380;28.0;65.3
1755708980;28.1;65.2
1755709580;28.1;65.0
1755710180;28.2;64.6
1755710780;28.2;64.7
1755711380;28.3;64.4
1755711981;28.3;64.3
1755712581;28.4;63.9
1755713181;28.4;63.5
1755713781;28.4;63.4
1755714381;28.5;63.2
1755715582;28.5;62.7
1755716182;28.6;62.3
1755716782;28.6;62.0
1755717382;28.6;62.0
1755717982;28.7;61.8
1755718582;28.7;61.6
1755719182;28.7;61.4
1755719782;28.7;61.3
1755720382;28.8;61.3
1755720982;28.8;61.3
1755721583;28.8;61.5
1755722183;28.8;61.1
1755722783;28.8;60.9
1755723383;28.9;60.8
1755723983;28.9;60.9
1755724583;28.9;60.6
1755725183;28.9;60.5
1755725784;28.9;60.6
1755726384;28.9;60.5
1755726985;29.0;60.4
1755727585;28.9;60.3
1755728185;29.0;60.2
1755728785;29.0;60.0
1755729385;29.0;59.7
1755729985;29.0;59.4
1755730585;29.0;59.4
1755731185;29.0;59.4
1755731786;29.0;59.4
1755732386;29.0;59.2
1755732986;29.0;59.2
1755733586;29.0;59.2
1755734186;29.1;59.2
1755734786;29.1;59.0
1755735386;29.1;59.1
1755735986;29.1;58.9
1755736587;29.0;58.5
1755737187;29.1;58.5
1755737787;29.1;58.5
1755738387;29.1;58.3
1755738987;29.1;58.0
1755739587;29.1;58.1
1755740188;29.1;58.7
1755740787;29.1;58.5
1755741387;29.1;58.2
1755741988;29.1;57.9
1755742588;29.0;57.5
1755743188;29.0;56.9
1755743788;29.0;56.6
1755744388;29.0;55.9
1755744988;29.0;56.7
1755745588;28.9;56.2
1755746188;28.9;55.8
1755747989;26.1;67.2
1755748589;25.1;62.6
1755749101;25.2;71.9
1755749246;25.5;55.4
1755749847;24.8;54.2
1755750447;25.0;53.2
1755751047;25.1;52.7
1755751647;25.3;52.1
1755752247;25.4;51.0
1755752847;25.4;51.0
1755753447;25.5;50.2
1755754047;25.7;49.0
1755754648;25.7;48.9
1755758248;26.0;47.5
1755759448;26.0;47.8
$DateTime('ddd, MMM dd yy HH:mm', 1755760048);26.0;47.5;$DEV
$DateTime('ddd, MMM dd yy HH:mm', 1755760649);26.0;47.6;$DEV
Thu, Aug 21 2025 11:17;26.1;49.1;HT_3C71BF29AB79
Thu, Aug 21 2025 12:17;25.9;46.8;HT_3C71BF29AB79
Thu, Aug 21 2025 12:37;25.9;46.2;HT_3C71BF29AB79
Thu, Aug 21 2025 12:57;25.8;46.2;HT_3C71BF29AB79
Thu, Aug 21 2025 13:07;25.9;46.2;HT_3C71BF29AB79
Thu, Aug 21 2025 13:17;25.9;46.1;HT_3C71BF29AB79
Thu, Aug 21 2025 13:27;26.0;45.9;HT_3C71BF29AB79
Thu, Aug 21 2025 13:37;26.0;46.4;HT_3C71BF29AB79
Thu, Aug 21 2025 13:47;26.0;46.8;HT_3C71BF29AB79
Thu, Aug 21 2025 13:57;26.0;47.4;HT_3C71BF29AB79
Thu, Aug 21 2025 14:07;25.9;47.6;HT_3C71BF29AB79
Fri, Aug 22 2025 15:37;27.4;60.8;HT_3C71BF29AB79
