TIME;TEMP;HUM;DEV
Sat, Aug 23 2025 16:32;32.7;56.2;HT_3C71BF29A837
Sun, Aug 24 2025 08:02;29.6;36.2;HT_3C71BF29A837
Sun, Aug 24 2025 08:12;29.4;36.7;HT_3C71BF29A837
Sun, Aug 24 2025 08:22;29.3;37.5;HT_3C71BF29A837
Sun, Aug 24 2025 08:32;29.2;38.7;HT_3C71BF29A837
Sun, Aug 24 2025 08:42;29.3;39.5;HT_3C71BF29A837
Sun, Aug 24 2025 08:52;29.4;39.8;HT_3C71BF29A837
Sun, Aug 24 2025 09:02;29.8;40.0;HT_3C71BF29A837
Sun, Aug 24 2025 09:12;29.7;40.2;HT_3C71BF29A837
Sun, Aug 24 2025 09:22;29.7;40.6;HT_3C71BF29A837
Sun, Aug 24 2025 09:32;29.7;39.4;HT_3C71BF29A837
Sun, Aug 24 2025 09:42;29.6;40.4;HT_3C71BF29A837
Sun, Aug 24 2025 09:52;29.7;39.1;HT_3C71BF29A837
Sun, Aug 24 2025 10:02;29.7;39.2;HT_3C71BF29A837
Sun, Aug 24 2025 10:12;29.5;40.3;HT_3C71BF29A837
Sun, Aug 24 2025 10:22;29.4;40.4;HT_3C71BF29A837
Sun, Aug 24 2025 10:32;29.5;39.4;HT_3C71BF29A837
Sun, Aug 24 2025 10:40;29.4;40.0;HT_3C71BF29A837
Sun, Aug 24 2025 10:42;29.4;39.5;HT_3C71BF29A837
Sun, Aug 24 2025 10:52;29.4;40.7;HT_3C71BF29A837
Sun, Aug 24 2025 11:02;29.5;40.6;HT_3C71BF29A837
Sun, Aug 24 2025 11:12;29.3;38.5;HT_3C71BF29A837
Sun, Aug 24 2025 11:22;29.0;37.2;HT_3C71BF29A837
Sun, Aug 24 2025 11:32;28.8;37.8;HT_3C71BF29A837
Sun, Aug 24 2025 11:42;28.7;37.9;HT_3C71BF29A837
Sun, Aug 24 2025 11:52;28.9;37.8;HT_3C71BF29A837
Sun, Aug 24 2025 12:02;29.0;37.7;HT_3C71BF29A837
Sun, Aug 24 2025 12:12;29.0;38.3;HT_3C71BF29A837
Sun, Aug 24 2025 12:22;29.0;38.9;HT_3C71BF29A837
Sun, Aug 24 2025 12:32;28.8;38.5;HT_3C71BF29A837
Sun, Aug 24 2025 12:42;28.6;38.3;HT_3C71BF29A837
Sun, Aug 24 2025 12:52;28.4;39.4;HT_3C71BF29A837
Sun, Aug 24 2025 13:02;28.3;38.4;HT_3C71BF29A837
Sun, Aug 24 2025 13:12;28.2;37.9;HT_3C71BF29A837
Sun, Aug 24 2025 13:22;28.2;38.9;HT_3C71BF29A837
Sun, Aug 24 2025 13:32;28.1;39.7;HT_3C71BF29A837
Sun, Aug 24 2025 13:42;28.3;39.5;HT_3C71BF29A837
Sun, Aug 24 2025 13:52;28.0;39.5;HT_3C71BF29A837
Sun, Aug 24 2025 14:02;28.1;39.1;HT_3C71BF29A837
Sun, Aug 24 2025 14:12;28.1;39.9;HT_3C71BF29A837
Sun, Aug 24 2025 14:22;28.3;39.7;HT_3C71BF29A837
Sun, Aug 24 2025 14:32;28.1;39.3;HT_3C71BF29A837
Sun, Aug 24 2025 14:42;28.1;39.9;HT_3C71BF29A837
Sun, Aug 24 2025 14:52;28.0;39.6;HT_3C71BF29A837
Sun, Aug 24 2025 15:02;28.0;39.4;HT_3C71BF29A837
Sun, Aug 24 2025 15:12;28.0;39.0;HT_3C71BF29A837
Sun, Aug 24 2025 15:22;28.0;39.3;HT_3C71BF29A837
Sun, Aug 24 2025 15:32;28.1;39.7;HT_3C71BF29A837
Sun, Aug 24 2025 15:42;28.1;39.4;HT_3C71BF29A837
Sun, Aug 24 2025 15:52;28.2;39.4;HT_3C71BF29A837
Sun, Aug 24 2025 16:02;28.1;39.2;HT_3C71BF29A837
Sun, Aug 24 2025 16:12;28.2;39.0;HT_3C71BF29A837
