TIME;TEMP;HUM;DEV
Sun, Aug 18 2025 07:58;24.1;55.2;HT_3C71BF28FBD8
Sun, Aug 18 2025 08:02;24.3;54.8;HT_3C71BF28FBD8
Sun, Aug 18 2025 08:05;24.0;55.5;HT_3C71BF28FBD8
Sun, Aug 18 2025 15:58;25.8;48.2;HT_3C71BF28FBD8
Sun, Aug 18 2025 16:01;25.6;47.9;HT_3C71BF28FBD8
Sun, Aug 18 2025 16:04;25.9;48.5;HT_3C71BF28FBD8
Mon, Aug 19 2025 07:59;23.8;52.1;HT_3C71BF28FBD8
Mon, Aug 19 2025 08:01;23.9;51.8;HT_3C71BF28FBD8
Mon, Aug 19 2025 08:03;24.1;52.3;HT_3C71BF28FBD8
Mon, Aug 19 2025 15:57;26.2;45.6;HT_3C71BF28FBD8
Mon, Aug 19 2025 16:00;26.0;45.9;HT_3C71BF28FBD8
Mon, Aug 19 2025 16:03;26.1;45.2;HT_3C71BF28FBD8
Tue, Aug 20 2025 08:00;27.5;38.2;HT_3C71BF28FBD8
Tue, Aug 20 2025 08:02;27.8;37.9;HT_3C71BF28FBD8
Tue, Aug 20 2025 08:05;27.6;38.5;HT_3C71BF28FBD8
Tue, Aug 20 2025 16:01;28.1;35.8;HT_3C71BF28FBD8
Tue, Aug 20 2025 16:03;28.3;36.2;HT_3C71BF28FBD8
Wed, Aug 21 2025 07:58;24.4;64.3;HT_3C71BF28FBD8
Wed, Aug 21 2025 08:01;24.5;66.5;HT_3C71BF28FBD8
Wed, Aug 21 2025 08:04;24.2;65.1;HT_3C71BF28FBD8
Wed, Aug 21 2025 15:59;26.4;58.9;HT_3C71BF28FBD8
Wed, Aug 21 2025 16:02;26.1;59.2;HT_3C71BF28FBD8
Thu, Aug 22 2025 08:00;22.1;45.5;HT_3C71BF28FBD8
Thu, Aug 22 2025 08:02;22.3;45.8;HT_3C71BF28FBD8
Thu, Aug 22 2025 08:05;22.0;45.2;HT_3C71BF28FBD8
Thu, Aug 22 2025 15:58;23.8;50.1;HT_3C71BF28FBD8
Thu, Aug 22 2025 16:01;23.9;49.8;HT_3C71BF28FBD8
Thu, Aug 22 2025 16:04;23.7;50.4;HT_3C71BF28FBD8
